exp,unit,cluster,mean_pre,mean_post,std_pre,std_post
2023_04_04_hc328_hckcr1-2_1,3,1,0.09999999999999999,0.0,0.9949874371066199,0.0
2023_04_04_hc328_hckcr1-2_1,4,1,1.9,0.09999999999999999,4.170131892398609,0.9949874371066199
2023_04_04_hc328_hckcr1-2_1,6,1,0.7000000000000001,0.0,2.551470164434614,0.0
2023_04_04_hc328_hckcr1-2_1,7,1,0.6,0.0,2.3748684174075834,0.0
2023_04_04_hc328_hckcr1-2_1,8,1,0.39999999999999997,0.09999999999999999,1.9595917942265424,0.9949874371066199
2023_04_04_hc328_hckcr1-2_1,9,-1,1.4999999999999998,0.0,3.840572873934304,0.0
2023_04_04_hc328_hckcr1-2_1,11,1,0.7999999999999999,0.0,2.7129319932501073,0.0
2023_04_04_hc328_hckcr1-2_1,12,1,0.8999999999999999,0.0,2.8618176042508368,0.0
2023_04_04_hc328_hckcr1-2_1,14,-1,0.7999999999999999,0.0,2.7129319932501073,0.0
2023_04_04_hc328_hckcr1-2_1,17,-1,0.7999999999999999,0.0,2.7129319932501073,0.0
2023_04_04_hc328_hckcr1-2_1,19,-1,0.5,0.0,2.1794494717703365,0.0
2023_04_04_hc328_hckcr1-2_1,21,-1,0.8999999999999999,0.0,2.8618176042508368,0.0
2023_04_04_hc328_hckcr1-2_1,23,-1,0.39999999999999997,0.0,1.9595917942265422,0.0
2023_04_04_hc328_hckcr1-2_1,26,-1,1.0,0.0,2.9999999999999996,0.0
2023_04_04_hc328_hckcr1-2_1,27,-1,0.5,0.09999999999999999,2.1794494717703365,0.9949874371066199
2023_04_04_hc328_hckcr1-2_1,28,1,0.39999999999999997,0.09999999999999999,1.9595917942265428,0.9949874371066199
2023_04_04_hc328_hckcr1-2_1,29,1,0.39999999999999997,0.0,1.9595917942265422,0.0
2023_04_04_hc328_hckcr1-2_1,30,-1,0.39999999999999997,0.0,1.9595917942265422,0.0
2023_04_04_hc328_hckcr1-2_1,31,-1,1.4999999999999998,0.0,3.840572873934304,0.0
2023_04_04_hc328_hckcr1-2_1,32,1,0.6,0.0,2.374868417407583,0.0
2023_04_04_hc328_hckcr1-2_1,33,-1,1.3,0.0,3.6482872693909396,0.0
2023_04_04_hc328_hckcr1-2_1,34,-1,0.6,0.0,2.3748684174075834,0.0
2023_04_04_hc328_hckcr1-2_1,35,1,0.19999999999999998,0.0,1.3999999999999995,0.0
2023_04_04_hc328_hckcr1-2_1,36,1,0.8999999999999999,0.0,2.861817604250837,0.0
2023_04_04_hc328_hckcr1-2_1,37,1,0.39999999999999997,0.0,1.9595917942265422,0.0
2023_04_04_hc328_hckcr1-2_1,38,-1,1.7,0.0,4.013726448077895,0.0
2023_04_04_hc328_hckcr1-2_1,39,-1,0.6,0.0,2.3748684174075834,0.0
2023_04_04_hc328_hckcr1-2_1,40,1,1.2,0.09999999999999999,3.8157568056677817,0.9949874371066199
2023_04_04_hc328_hckcr1-2_1,42,-1,0.7999999999999999,0.0,2.7129319932501073,0.0
2023_04_04_hc328_hckcr1-2_1,43,-1,0.5,0.0,2.1794494717703365,0.0
