,x,y,waveform,color
21,-0.23223212,6.822949,"[ 0.01745869  0.01425199  0.02173429  0.01710239  0.01959649  0.02565359
  0.02707879  0.02850399  0.03456108  0.03420478  0.02458469  0.02351579
  0.02992919  0.03135438  0.02957288  0.10617735  0.23800828  0.2013094
 -0.04382488 -0.34097894 -0.49062485 -0.45855786 -0.38088452 -0.27150048
 -0.16425422 -0.08159266 -0.03420478  0.0010689   0.02779139  0.04133078
  0.05273238  0.05950207  0.07054737  0.07553556  0.07446667  0.07945486
  0.07268516  0.06734067  0.06235247  0.06092727  0.05772057  0.04560638
  0.03705518  0.03099808  0.02957288  0.01817129  0.01924019  0.01710239
  0.01496459  0.007126  ]",3
22,0.6619408,10.325882,"[ 0.02302788  0.02242976  0.02093444  0.02033632  0.02063538  0.01824287
  0.01345786  0.01345786  0.01644849  0.01704662  0.01585036  0.01196254
  0.00628033  0.01016816  0.00149532 -0.01076628 -0.00418689 -0.04276607
 -0.25958706 -0.55984675 -0.61068756 -0.34571734 -0.0589155   0.11304598
  0.17913899  0.15880269  0.09629843  0.03618668  0.01764474  0.02661665
  0.04216795  0.06340145  0.07207429  0.07476586  0.06908366  0.06998084
  0.05861643  0.04725203  0.03887825  0.02272882  0.02003725  0.02003725
  0.01465411  0.01076628  0.00269157  0.00239251 -0.00867284 -0.00927097
 -0.01106535 -0.01076628]",0
23,8.487549,9.379479,"[ 0.0318399   0.05230841  0.06595408  0.07277691  0.05913124  0.07505119
  0.07277691  0.08642258  0.09324542  0.08642258  0.09551969  0.08414831
  0.09097114  0.07277691  0.03866274  0.00909711 -0.04321129 -0.17057089
 -0.33204467 -0.42983863 -0.44575856 -0.37525594 -0.26609058 -0.14555382
 -0.08642258 -0.06140552 -0.05685696 -0.01819423 -0.00909711 -0.01364567
  0.00909711  0.04548557  0.08187402  0.08642258  0.11371393  0.14327955
  0.13873098  0.14327955  0.13873098  0.12508531  0.07959975  0.06140552
  0.05685696  0.04093701  0.04775985  0.03866274  0.02729134  0.02274279
  0.         -0.01137139]",8
24,8.382706,4.5674562,"[ 0.05496738  0.0651756   0.06988709  0.07145759  0.07224284  0.08402156
  0.08166582  0.07145759  0.07145759  0.07695433  0.08245106  0.07459858
  0.06831659  0.06988709  0.06596085  0.06046411  0.03533617 -0.02355745
 -0.14448568 -0.31017306 -0.4311013  -0.42953078 -0.36671093 -0.28583035
 -0.22458101 -0.15233816 -0.12485447 -0.08088057 -0.03769192 -0.00706723
  0.0227722   0.0439739   0.04790014  0.0667461   0.07459858  0.09265929
  0.1091495   0.10600852  0.09815603  0.07931007  0.08009532  0.08559206
  0.1091495   0.09344454  0.07459858  0.06910184  0.06360511  0.04632965
  0.03062468  0.02826894]",11
25,0.16222443,6.9149127,"[ 0.02208499  0.01505795  0.01940802  0.02141575  0.02208499  0.01773492
  0.01773492  0.01873878  0.01974264  0.01472333  0.01204636  0.02409271
  0.02710431  0.03279286  0.09369389  0.23791558  0.24996192  0.03346211
 -0.27472388 -0.46512326 -0.46813487 -0.3988683  -0.30417053 -0.18370697
 -0.09302465 -0.03881604 -0.00301159  0.01974264  0.03446597  0.05353937
  0.07060504  0.07395125  0.07361663  0.07830133  0.07830133  0.06960118
  0.05855868  0.06424724  0.06458186  0.05420861  0.04316611  0.03680832
  0.02911203  0.02476196  0.02007726  0.02442734  0.02175037  0.01003863
  0.00301159  0.00301159]",3
26,0.17659064,6.920473,"[ 0.0278342   0.02358175  0.02242199  0.02164882  0.01546344  0.02435492
  0.02512809  0.02474151  0.02126223  0.02010248  0.01700979  0.02590127
  0.02551468  0.04523057  0.10321848  0.20952965  0.20914307  0.00811831
 -0.26790416 -0.46313011 -0.48825822 -0.41287392 -0.30192374 -0.18594791
 -0.094327   -0.03672568  0.00231952  0.0278342   0.04020495  0.05064278
  0.07113184  0.0749977   0.06687939  0.07345135  0.08079649  0.07577087
  0.0749977   0.06417329  0.05876108  0.04948302  0.0498696   0.04561716
  0.03749885  0.02164882  0.02396834  0.02358175  0.0193293   0.01353051
  0.00425245  0.00811831]",3
27,0.02706006,6.778574,"[ 0.01888858  0.02321721  0.03069394  0.03580959  0.02911989  0.02675882
  0.02321721  0.02361072  0.02597179  0.02793935  0.02636531  0.02715233
  0.0295134   0.02833286  0.06414246  0.16566856  0.23453317  0.09680396
 -0.16960368 -0.41082656 -0.49503813 -0.44388157 -0.34983219 -0.23020452
 -0.12513682 -0.05587871 -0.01377292  0.01692102  0.03226799  0.04407335
  0.0688646   0.07948943  0.07083217  0.06335543  0.07319324  0.08106348
  0.07122567  0.06414246  0.06335543  0.06138788  0.049189    0.04486037
  0.03738364  0.02203667  0.02321721  0.01574048  0.01337941  0.0098378
  0.00865726  0.00472214]",3
28,4.1196117,6.2901206,"[ 0.02643263  0.02345431  0.02308202  0.03090012  0.03276157  0.03387844
  0.03387844  0.02829408  0.03797364  0.03499532  0.03127241  0.03462303
  0.03127241  0.03909051  0.03201699  0.02010369  0.01377475  0.00074458
 -0.09307265 -0.32761573 -0.52381286 -0.5074321  -0.37526893 -0.24831783
 -0.15338373 -0.07036292 -0.01079643  0.01786995  0.03909051  0.06477856
  0.08674371  0.10535824  0.11987757  0.12211132  0.11168719  0.10051847
  0.08934974  0.08153164  0.07408583  0.05807734  0.04467487  0.03238928
  0.02978325  0.02419889  0.0197314   0.01265788  0.00521207  0.00558436
 -0.00335062 -0.00483978]",4
29,0.08499313,6.887485,"[ 0.02400405  0.01888843  0.02675861  0.02164299  0.01888843  0.01613387
  0.01534685  0.01574036  0.01810141  0.01416632  0.0133793   0.02321703
  0.02361054  0.03266124  0.07555372  0.17511148  0.21761043  0.07673424
 -0.19439341 -0.42774422 -0.49818233 -0.44505863 -0.32936699 -0.21249484
 -0.11608513 -0.05154967 -0.00905071  0.02085597  0.04367949  0.0574523
  0.06807704  0.06847055  0.06729003  0.07673424  0.08932653  0.08932653
  0.07791477  0.07083161  0.06217442  0.05627178  0.04800809  0.04289247
  0.04053142  0.03148071  0.02124948  0.01534685  0.01613387  0.01416632
  0.00629614 -0.00118053]",3
30,1.3515191,10.416006,"[ 2.19675156e-02  3.32191685e-02  3.64339293e-02  3.32191685e-02
  3.16117901e-02  3.26833764e-02  3.10759959e-02  2.08959293e-02
  1.12516539e-02  1.07158607e-02  1.39306196e-02  9.10848233e-03
  3.75055146e-03  2.14317230e-03  1.07158615e-03 -5.35793074e-04
  3.75055146e-03 -3.00044117e-02 -1.64488472e-01 -4.26491269e-01
 -5.78656516e-01 -4.89714833e-01 -2.72182878e-01 -1.03943855e-01
 -8.57268919e-03  5.46508900e-02  1.17338676e-01  1.48950466e-01
  1.31805094e-01  1.28590329e-01  1.24839778e-01  1.06087023e-01
  8.09047467e-02  6.16162017e-02  5.51866841e-02  4.71497881e-02
  4.33992371e-02  4.50066155e-02  3.69697195e-02  3.16117901e-02
  2.30391019e-02  1.55379980e-02  6.96530978e-03 -4.28634460e-03
  5.35793074e-04 -5.35793037e-03 -2.14317230e-03 -2.67896518e-03
 -5.35793074e-04 -5.35793037e-03]",0
31,9.4245825,5.562131,"[ 0.04066117  0.05439092  0.05597512  0.05650319  0.05227865  0.06336806
  0.0723452   0.07973814  0.07921007  0.08237848  0.09927663  0.16053241
  0.204362    0.19116032  0.1383536   0.05069445 -0.04963831 -0.16686922
 -0.28515628 -0.36119794 -0.37492768 -0.34218753 -0.2893808  -0.24027057
 -0.20066552 -0.14997107 -0.11775898 -0.09241175 -0.06283999 -0.0322121
 -0.01372975  0.00686487  0.0337963   0.05650319  0.0675926   0.07445747
  0.07868201  0.07762587  0.07128907  0.0723452   0.07762587  0.08977142
  0.09452402  0.09927663  0.07973814  0.07023293  0.06019966  0.04911025
  0.04171731  0.0385489 ]",11
